Palace,3,7,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Townhall,3,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Senate,3,4,0,0,1,1,2,0,0,0,Library,0,0,0,0,0,0,0,0,0,0,0,0,6
Pantheon,3,6,0,2,0,1,0,1,1,1,Temple,0,0,0,0,0,0,0,0,0,0,0,0,7
Gardens,3,3,0,2,0,0,1,0,0,0,Statue,0,0,0,0,0,0,0,0,0,0,0,0,5
University,0,4,0,0,0,0,2,1,1,0,Library,0,0,0,0,0,0,0,0,0,0,1,0,0
Observatory,0,4,0,0,0,2,0,1,0,1,Laboratory,0,0,0,0,0,0,0,0,0,1,0,0,0
Study,0,3,0,0,0,0,1,0,1,1,School,0,0,0,0,0,0,0,0,0,1,0,0,0
Academy,0,4,0,0,3,0,0,1,0,0,School,0,0,0,0,0,0,0,0,1,0,0,0,0
Lodge,0,4,0,2,0,0,0,0,1,1,Dispensary,0,0,0,0,0,0,0,0,1,0,0,0,0
University,0,4,0,0,0,0,2,1,1,0,Library,0,0,0,0,0,0,0,0,0,0,1,0,0
Arsenal,4,4,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Circus,4,4,0,0,3,1,0,0,0,0,TrainingGround,0,0,0,0,0,0,0,0,0,0,0,3,0
SiegeWorkshop,4,4,0,3,0,0,1,0,0,0,Laboratory,0,0,0,0,0,0,0,0,0,0,0,3,0
Fortifications,4,4,0,0,1,3,0,0,0,0,Walls,0,0,0,0,0,0,0,0,0,0,0,3,0
Haven,5,3,0,0,0,1,1,0,0,1,Forum,0,0,0,0,0,0,0,0,0,0,0,0,0
ChamberOfCommerce,5,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lighthouse,5,2,0,0,1,0,0,1,0,0,Caravansery,0,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
