Quarry,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Brickyard,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Sawmill,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Foundary,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Press,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Classworks,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Loom,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Aqueduct,3,3,0,0,3,0,0,0,0,0,Bath,0,0,0,0,0,0,0,0,0,0,0,0,5
Temple,3,3,0,1,0,0,1,1,0,0,Altar,0,0,0,0,0,0,0,0,0,0,0,0,3
Statue,3,3,0,0,0,2,1,0,0,0,Theater,0,0,0,0,0,0,0,0,0,0,0,0,4
Courthouse,3,3,0,2,0,0,0,0,0,1,Scriptorium,0,0,0,0,0,0,0,0,0,0,0,0,4
Dispensary,0,3,0,0,0,2,0,1,0,0,Apothecary,0,0,0,0,0,0,0,0,1,0,0,0,0
School,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laboratory,0,3,0,2,0,0,0,0,1,0,Workshop,0,0,0,0,0,0,0,0,0,1,0,0,0
Libary,0,3,0,0,2,0,0,0,0,1,Scriptorium,0,0,0,0,0,0,0,0,0,0,1,0,0
ArcheryRange,4,3,0,0,0,1,2,0,0,0,Workshop,0,0,0,0,0,0,0,0,0,0,0,2,0
TrainingGround,4,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Walls,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stables,4,3,0,1,0,1,1,0,0,0,Apothecary,0,0,0,0,0,0,0,0,0,0,0,2,0
Forum,5,2,0,2,0,0,0,0,0,0,WestTradingPost,0,0,0,0,0,0,0,0,0,0,0,0,0
Vineyard,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bazar,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caravansery,5,2,0,0,0,0,2,0,0,0,Marketplace,0,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CartaNula,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
